FTLAB RADON DATA FILE
MODEL NAME:	Radon Eye Plus
S/N:	PE22111010058
Unit:	Bq/m3
Time step:	1hour
Data No :	3884
1)	2022-04-05 10:06:30	 73	18.0°C	49%
2)	2023-04-16 14:46:16	 34	19.0°C	52%
3)	2023-04-16 15:46:16	 15	19.0°C	49%
4)	2023-04-16 16:46:16	 13	19.0°C	50%
5)	2023-04-16 17:46:16	 22	19.5°C	49%
6)	2023-04-16 18:46:16	 13	19.0°C	52%
7)	2023-04-16 19:46:16	 21	19.0°C	54%
8)	2023-04-16 20:46:16	 26	19.5°C	54%
9)	2023-04-16 21:46:16	 19	19.0°C	54%
10)	2023-04-16 22:46:16	 15	18.5°C	54%
11)	2023-04-16 23:46:16	 22	18.5°C	55%
12)	2023-04-17 00:46:16	 45	19.5°C	54%
13)	2023-04-17 01:46:16	 28	19.0°C	55%
14)	2023-04-17 02:46:16	 58	19.5°C	54%
15)	2023-04-17 03:46:16	 64	19.5°C	55%
16)	2023-04-17 04:46:16	 64	19.0°C	54%
17)	2023-04-17 05:46:16	 62	19.0°C	54%
18)	2023-04-17 06:46:16	 64	19.0°C	54%
19)	2023-04-17 07:46:16	 58	19.0°C	54%
20)	2023-04-17 08:46:16	 54	19.0°C	54%
21)	2023-04-17 09:46:16	 52	19.0°C	53%
22)	2023-04-17 10:46:16	 45	19.5°C	54%
23)	2023-04-17 11:46:16	 51	19.0°C	54%
24)	2023-04-17 12:46:16	 51	19.5°C	52%
25)	2023-04-17 13:46:16	 34	19.5°C	51%
26)	2023-04-17 14:46:16	 21	19.5°C	48%
27)	2023-04-17 15:46:16	 15	19.5°C	47%
28)	2023-04-17 16:46:16	  9	19.5°C	52%
29)	2023-04-17 17:46:16	 26	19.5°C	54%
30)	2023-04-17 18:46:16	 22	20.0°C	54%
31)	2023-04-17 19:46:16	 17	20.0°C	53%
32)	2023-04-17 20:46:16	 22	19.5°C	53%
33)	2023-04-17 21:46:16	 28	19.0°C	56%
34)	2023-04-17 22:46:16	 22	19.5°C	56%
35)	2023-04-17 23:46:16	 32	19.5°C	55%
36)	2023-04-18 00:46:16	 26	19.5°C	55%
37)	2023-04-18 01:46:16	 51	19.5°C	55%
38)	2023-04-18 02:46:16	 32	19.5°C	54%
39)	2023-04-18 03:46:16	 39	19.0°C	54%
40)	2023-04-18 04:46:16	 30	18.5°C	54%
41)	2023-04-18 05:46:16	 34	18.5°C	53%
42)	2023-04-18 06:46:16	 47	18.5°C	53%
43)	2023-04-18 07:46:16	 37	18.5°C	53%
44)	2023-04-18 08:46:16	 37	18.5°C	53%
45)	2023-04-18 09:46:16	 34	18.5°C	53%
46)	2023-04-18 10:46:16	 37	19.0°C	53%
47)	2023-04-18 11:46:16	 35	19.0°C	50%
48)	2023-04-18 12:46:16	 28	19.0°C	48%
49)	2023-04-18 13:46:16	 15	19.0°C	48%
50)	2023-04-18 14:46:16	  5	19.0°C	49%
51)	2023-04-18 15:46:16	  9	19.0°C	49%
52)	2023-04-18 16:46:16	  9	19.0°C	52%
53)	2023-04-18 17:46:16	 21	19.0°C	53%
54)	2023-04-18 18:46:16	  9	19.0°C	53%
55)	2023-04-18 19:46:16	  7	19.0°C	54%
56)	2023-04-18 20:46:16	 11	19.0°C	55%
57)	2023-04-18 21:46:16	 22	19.0°C	55%
58)	2023-04-18 22:46:16	 23	19.0°C	56%
59)	2023-04-18 23:46:16	 19	19.0°C	55%
60)	2023-04-19 00:46:16	 11	19.0°C	55%
61)	2023-04-19 01:46:16	 35	19.5°C	55%
62)	2023-04-19 02:46:16	 41	19.0°C	55%
63)	2023-04-19 03:46:16	 28	19.0°C	55%
64)	2023-04-19 04:46:16	 41	19.0°C	54%
65)	2023-04-19 05:46:16	 41	19.0°C	55%
66)	2023-04-19 06:46:16	 28	19.0°C	55%
67)	2023-04-19 07:46:16	 34	18.5°C	56%
68)	2023-04-19 08:46:16	 26	18.5°C	56%
69)	2023-04-19 09:46:16	 21	18.5°C	56%
70)	2023-04-19 10:46:16	 28	18.5°C	55%
71)	2023-04-19 11:46:16	 15	19.0°C	53%
72)	2023-04-19 12:46:16	 26	18.5°C	52%
73)	2023-04-19 13:46:16	  9	18.5°C	52%
74)	2023-04-19 14:46:16	  7	18.5°C	52%
75)	2023-04-19 15:46:16	  7	18.5°C	52%
76)	2023-04-19 16:46:16	  4	19.5°C	56%
77)	2023-04-19 17:46:16	 26	19.5°C	55%
78)	2023-04-19 18:46:16	 22	19.5°C	56%
79)	2023-04-19 19:46:16	 41	19.5°C	55%
80)	2023-04-19 20:46:16	 26	19.5°C	55%
81)	2023-04-19 21:46:16	 34	20.5°C	56%
82)	2023-04-19 22:46:16	 52	20.0°C	55%
83)	2023-04-19 23:46:16	 56	20.0°C	55%
84)	2023-04-20 00:46:16	 67	19.5°C	55%
85)	2023-04-20 01:46:16	 79	19.5°C	56%
86)	2023-04-20 02:46:16	100	19.5°C	56%
87)	2023-04-20 03:46:16	 64	19.0°C	57%
88)	2023-04-20 04:46:16	 86	19.0°C	57%
89)	2023-04-20 05:46:16	 73	18.5°C	57%
90)	2023-04-20 06:46:16	107	19.0°C	57%
91)	2023-04-20 07:46:16	 81	18.5°C	57%
92)	2023-04-20 08:46:16	 79	18.5°C	57%
93)	2023-04-20 09:46:16	105	19.0°C	57%
94)	2023-04-20 10:46:16	 92	19.0°C	56%
95)	2023-04-20 11:46:16	 84	19.5°C	53%
96)	2023-04-20 12:46:16	 45	19.5°C	52%
97)	2023-04-20 13:46:16	 17	20.0°C	50%
98)	2023-04-20 14:46:16	 21	20.0°C	52%
99)	2023-04-20 15:46:16	 19	20.0°C	53%
100)	2023-04-20 16:46:16	 13	19.5°C	53%
101)	2023-04-20 17:46:16	  7	20.0°C	56%
102)	2023-04-20 18:46:16	 19	20.5°C	59%
103)	2023-04-20 19:46:16	 23	20.0°C	58%
104)	2023-04-20 20:46:16	 21	20.0°C	57%
105)	2023-04-20 21:46:16	 19	20.5°C	59%
106)	2023-04-20 22:46:16	 22	19.5°C	56%
107)	2023-04-20 23:46:16	 34	19.5°C	56%
108)	2023-04-21 00:46:16	 28	19.5°C	56%
109)	2023-04-21 01:46:16	 51	19.5°C	56%
110)	2023-04-21 02:46:16	 54	19.5°C	55%
111)	2023-04-21 03:46:16	 43	19.5°C	55%
112)	2023-04-21 04:46:16	 45	19.5°C	55%
113)	2023-04-21 05:46:16	 45	19.5°C	56%
114)	2023-04-21 06:46:16	 51	19.5°C	55%
115)	2023-04-21 07:46:16	 52	18.5°C	54%
116)	2023-04-21 08:46:16	 39	19.5°C	53%
117)	2023-04-21 09:46:16	 32	19.5°C	52%
118)	2023-04-21 10:46:16	 37	19.5°C	53%
119)	2023-04-21 11:46:16	 56	19.5°C	55%
120)	2023-04-21 12:46:16	 37	20.0°C	52%
121)	2023-04-21 13:46:16	 21	20.0°C	50%
122)	2023-04-21 14:46:16	 13	20.5°C	53%
123)	2023-04-21 15:46:16	 30	20.5°C	53%
124)	2023-04-21 16:46:16	 23	20.5°C	52%
125)	2023-04-21 17:46:16	 15	20.5°C	53%
126)	2023-04-21 18:46:16	 23	20.5°C	53%
127)	2023-04-21 19:46:16	 28	20.5°C	52%
128)	2023-04-21 20:46:16	 37	20.0°C	53%
129)	2023-04-21 21:46:16	 41	20.0°C	55%
130)	2023-04-21 22:46:16	 41	19.5°C	55%
131)	2023-04-21 23:46:16	 32	20.0°C	55%
132)	2023-04-22 00:46:16	 37	20.0°C	55%
133)	2023-04-22 01:46:16	 37	20.5°C	55%
134)	2023-04-22 02:46:16	 54	20.0°C	56%
135)	2023-04-22 03:46:16	 56	19.5°C	56%
136)	2023-04-22 04:46:16	 71	19.5°C	56%
137)	2023-04-22 05:46:16	 67	19.5°C	56%
138)	2023-04-22 06:46:16	 81	19.5°C	56%
139)	2023-04-22 07:46:16	 67	19.0°C	57%
140)	2023-04-22 08:46:16	 88	19.0°C	57%
