FTLAB RADON DATA FILE
MODEL NAME:	Radon Eye Plus
S/N:	PE22111010056
Unit:	Bq/m3
Time step:	1hour
Data No :	4418
1)	2024-03-13 14:06:34	158	14.0°C	63%
2)	2024-03-13 15:06:34	197	14.0°C	62%
3)	2024-03-13 16:06:34	234	14.0°C	62%
4)	2024-03-13 17:06:34	224	14.0°C	62%
5)	2024-03-13 18:06:34	242	14.0°C	61%
6)	2024-03-13 19:06:34	258	14.0°C	62%
7)	2024-03-13 20:06:34	210	13.5°C	62%
8)	2024-03-13 21:06:34	148	13.5°C	61%
9)	2024-03-13 22:06:34	154	13.5°C	61%
10)	2024-03-13 23:06:34	122	13.5°C	60%
11)	2024-03-14 00:06:34	132	13.5°C	59%
12)	2024-03-14 01:06:34	104	13.5°C	59%
13)	2024-03-14 02:06:34	132	13.5°C	58%
14)	2024-03-14 03:06:34	113	13.5°C	58%
15)	2024-03-14 04:06:34	111	13.5°C	58%
16)	2024-03-14 05:06:34	 87	13.5°C	58%
17)	2024-03-14 06:06:34	 92	13.5°C	58%
18)	2024-03-14 07:06:34	125	13.5°C	58%
19)	2024-03-14 08:06:34	137	14.0°C	58%
20)	2024-03-14 09:06:34	110	14.0°C	58%
21)	2024-03-14 10:06:34	242	14.5°C	58%
22)	2024-03-14 11:06:34	308	15.0°C	58%
23)	2024-03-14 12:06:34	451	15.0°C	58%
24)	2024-03-14 13:06:34	511	15.0°C	58%
25)	2024-03-14 14:06:34	498	14.5°C	59%
26)	2024-03-14 15:06:34	618	14.5°C	59%
27)	2024-03-14 16:06:34	623	14.5°C	59%
28)	2024-03-14 17:06:34	643	14.0°C	60%
29)	2024-03-14 18:06:34	618	14.0°C	60%
30)	2024-03-14 19:06:34	530	14.0°C	60%
31)	2024-03-14 20:06:34	404	14.0°C	60%
32)	2024-03-14 21:06:34	332	14.0°C	59%
33)	2024-03-14 22:06:34	251	14.0°C	59%
34)	2024-03-14 23:06:34	171	14.0°C	58%
35)	2024-03-15 00:06:34	165	14.0°C	58%
36)	2024-03-15 01:06:34	157	14.0°C	57%
