FTLAB RADON DATA FILE
MODEL NAME:	Radon Eye Plus
S/N:	PE22111010058
Unit:	Bq/m3
Time step:	1hour
Data No :	1950
1)	2025-03-19 15:08:59	 30	21.5°C	31%
2)	2025-03-19 16:08:59	 34	21.5°C	30%
3)	2025-03-19 17:08:59	 47	21.5°C	31%
4)	2025-03-19 18:08:59	 35	21.0°C	31%
5)	2025-03-19 19:08:59	 62	21.0°C	32%
6)	2025-03-19 20:08:59	 64	20.5°C	33%
7)	2025-03-19 21:08:59	 84	20.5°C	33%
8)	2025-03-19 22:08:59	 86	20.5°C	33%
9)	2025-03-19 23:08:59	128	20.5°C	34%
10)	2025-03-20 00:08:59	102	20.0°C	34%
11)	2025-03-20 01:08:59	113	20.0°C	34%
12)	2025-03-20 02:08:59	100	20.0°C	34%
13)	2025-03-20 03:08:59	107	20.0°C	34%
14)	2025-03-20 04:08:59	107	20.0°C	34%
15)	2025-03-20 05:08:59	113	19.5°C	34%
16)	2025-03-20 06:08:59	102	19.5°C	34%
17)	2025-03-20 07:08:59	107	19.5°C	34%
18)	2025-03-20 08:08:59	102	20.0°C	34%
19)	2025-03-20 09:08:59	145	21.0°C	33%
20)	2025-03-20 10:08:59	 88	21.5°C	32%
21)	2025-03-20 11:08:59	 84	22.0°C	32%
22)	2025-03-20 12:08:59	 62	21.5°C	29%
23)	2025-03-20 13:08:59	 66	22.0°C	31%
24)	2025-03-20 14:08:59	 51	22.0°C	32%
25)	2025-03-20 15:08:59	 43	21.5°C	32%
26)	2025-03-20 16:08:59	 43	21.5°C	32%
27)	2025-03-20 17:08:59	 41	21.0°C	32%
28)	2025-03-20 18:08:59	 56	21.0°C	32%
29)	2025-03-20 19:08:59	 60	20.5°C	33%
30)	2025-03-20 20:08:59	 77	20.5°C	34%
31)	2025-03-20 21:08:59	 73	20.5°C	34%
32)	2025-03-20 22:08:59	 90	20.0°C	34%
33)	2025-03-20 23:08:59	 90	20.0°C	34%
34)	2025-03-21 00:08:59	 95	20.0°C	34%
35)	2025-03-21 01:08:59	142	20.0°C	34%
36)	2025-03-21 02:08:59	130	20.0°C	35%
37)	2025-03-21 03:08:59	115	19.5°C	34%
38)	2025-03-21 04:08:59	115	19.5°C	35%
39)	2025-03-21 05:08:59	136	19.5°C	34%
40)	2025-03-21 06:08:59	111	19.5°C	34%
41)	2025-03-21 07:08:59	145	19.5°C	34%
42)	2025-03-21 08:08:59	134	20.0°C	35%
43)	2025-03-21 09:08:59	143	21.0°C	34%
44)	2025-03-21 10:08:59	119	21.0°C	35%
45)	2025-03-21 11:08:59	 47	20.5°C	36%
46)	2025-03-21 12:08:59	 47	21.0°C	37%
47)	2025-03-21 13:08:59	 66	21.0°C	38%
48)	2025-03-21 14:08:59	 58	21.0°C	38%
49)	2025-03-21 15:08:59	 54	21.0°C	37%
50)	2025-03-21 16:08:59	 41	20.5°C	38%
51)	2025-03-21 17:08:59	 64	20.5°C	38%
52)	2025-03-21 18:08:59	100	20.5°C	38%
53)	2025-03-21 19:08:59	 83	20.0°C	38%
54)	2025-03-21 20:08:59	 98	20.0°C	38%
55)	2025-03-21 21:08:59	 83	20.0°C	38%
56)	2025-03-21 22:08:59	109	20.0°C	38%
57)	2025-03-21 23:08:59	111	20.0°C	38%
58)	2025-03-22 00:08:59	153	19.5°C	38%
59)	2025-03-22 01:08:59	132	19.5°C	38%
60)	2025-03-22 02:08:59	124	19.5°C	38%
61)	2025-03-22 03:08:59	145	19.5°C	38%
62)	2025-03-22 04:08:59	140	19.5°C	38%
63)	2025-03-22 05:08:59	157	19.5°C	38%
64)	2025-03-22 06:08:59	147	19.5°C	38%
65)	2025-03-22 07:08:59	154	19.0°C	38%
66)	2025-03-22 08:08:59	190	19.5°C	38%
67)	2025-03-22 09:08:59	140	19.5°C	38%
68)	2025-03-22 10:08:59	165	19.5°C	38%
69)	2025-03-22 11:08:59	151	19.5°C	38%
70)	2025-03-22 12:08:59	180	19.5°C	38%
71)	2025-03-22 13:08:59	172	19.5°C	38%
72)	2025-03-22 14:08:59	186	19.5°C	38%
73)	2025-03-22 15:08:59	197	19.5°C	38%
74)	2025-03-22 16:08:59	159	19.5°C	38%
